Ticker
AAPL
MSFT
AMZN
FB
GOOGL
GOOG
BRKB
JPM
TSLA
JNJ
UNH
V
NVDA
HD
BAC
PG
DIS
MA
PYPL
CMCSA
XOM
ADBE
INTC
VZ
CSCO
PFE
KO
NFLX
T
PEP
ABT
CVX
CRM
ABBV
WMT
MRK
TMO
AVGO
ACN
WFC
MCD
TXN
COST
NKE
MDT
LLY
C
HON
DHR
LIN
UPS
PM
QCOM
UNP
BMY
ORCL
NEE
LOW
AMGN
BA
SBUX
CAT
BLK
IBM
AMAT
MS
RTX
GE
GS
AMT
MMM
TGT
CVS
INTU
AXP
DE
SCHW
ANTM
CHTR
ISRG
LMT
BKNG
AMD
MU
NOW
FIS
LRCX
SPGI
MO
CI
MDLZ
SYK
PLD
ADP
TFC
ZTS
GILD
USB
PNC
SQ
TJX
CCI
TMUS
FDX
CME
CSX
CB
COP
GM
ATVI
DUK
COF
ITW
SHW
NSC
CL
UBER
MMC
BDX
EL
FISV
SO
APD
EQIX
ADSK
ICE
D
FCX
ADI
BSX
ILMN
WM
NEM
EW
NOC
F
PGR
ETN
GPN
AON
ZM
HCA
EMR
HUM
MCO
VRTX
ECL
MRNA
DOW
DG
MET
KLAC
TWLO
GD
JCI
REGN
ALGN
IDXX
EOG
ROP
LHX
DD
AIG
KMB
IQV
TWTR
TT
ROST
SLB
EXC
TROW
PPG
CNC
PSA
AEP
PRU
SPG
INFO
A
DLR
BAX
BK
HPQ
ALL
WDAY
EA
BIIB
APTV
TRV
MPC
CARR
SRE
PH
APH
MAR
SYY
AFL
MCHP
SNPS
EBAY
WBA
STZ
CMI
CTSH
ROKU
GIS
CMG
ALXN
LULU
MRVL
MSCI
ORLY
XEL
PSX
ADM
LUV
YUM
DFS
DOCU
VEEV
KMI
IFF
CDNS
PANW
ZBH
MSI
MNST
CRWD
HLT
TDG
CTVA
WLTW
DXCM
FRC
VLO
SWK
CSGP
SBAC
GLW
PAYX
OTIS
SPOT
WMB
AZO
MTCH
DHI
CTAS
PEG
WELL
MCK
PCAR
DAL
STT
PXD
AMP
AME
ROK
TEAM
KKR
FAST
NUE
XLNX
FITB
SIVB
MTD
RMD
WEC
LYB
CBRE
ANSS
FTNT
AVB
PTON
WY
EFX
KHC
SWKS
EQR
ES
SYF
AWK
AJG
KR
VRSK
BBY
LH
MXIM
LEN
YUMC
KSU
LBRDK
