gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,costat,ggroup,gind,gsector,gsubind,naics,sic
033999,20191231,2019,INDL,C,D,STD,AMTB,AMERANT BANCORP INC,USD,A,4010,401010,40,40101015,522110,6020
034030,20191231,2019,INDL,C,D,STD,HFFG,HF FOODS GROUP INC,USD,A,3010,301010,30,30101020,4244,5140
034034,20191231,2019,INDL,C,D,STD,FLMN,FALCON MINERALS CORP,USD,A,1010,101020,10,10102020,211120,1311
034048,20191231,2019,INDL,C,D,STD,LTHM,LIVENT CORP,USD,A,1510,151010,15,15101050,325180,2810
034053,20191231,2019,INDL,C,D,STD,REZI,RESIDEO TECHNOLOGIES,USD,A,2010,201020,20,20102010,423690,5065
034065,20191231,2019,INDL,C,D,STD,STRO,SUTRO BIOPHARMA INC,USD,A,3520,352010,35,35201010,325414,2836
034076,20191231,2019,INDL,C,D,STD,EB,EVENTBRITE INC,USD,A,5020,502030,50,50203010,519130,7370
034077,20191231,2019,INDL,C,D,STD,ARVN,ARVINAS INC,USD,A,3520,352020,35,35202010,325414,2836
034082,20191231,2019,INDL,C,D,STD,GRTS,GRITSTONE BIO INC,USD,A,3520,352010,35,35201010,325414,2836
034101,20191231,2019,INDL,C,D,STD,UPWK,UPWORK INC,USD,A,2020,202020,20,20202010,519130,7370
034102,20191231,2019,INDL,C,D,STD,GH,GUARDANT HEALTH INC,USD,A,3510,351020,35,35102015,325413,2835
034118,20191231,2019,INDL,C,D,STD,KOD,KODIAK SCIENCES INC,USD,A,3520,352010,35,35201010,325414,2836
034135,20191231,2019,INDL,C,D,STD,YMAB,Y MABS THERAPEUTICS INC,USD,A,3520,352010,35,35201010,325414,2836
034161,20191231,2019,INDL,C,D,STD,ALLO,ALLOGENE THERAPEUTICS,USD,A,3520,352010,35,35201010,325414,2836
034193,20191231,2019,INDL,C,D,STD,SIBN,SI-BONE INC,USD,A,3510,351010,35,35101020,339113,3842
034221,20191231,2019,INDL,C,D,STD,NGM,NGM BIOPHARMACEUTICAL INC,USD,A,3520,352020,35,35202010,325414,2836
034236,20200131,2019,INDL,C,D,STD,PLAN,ANAPLAN INC,USD,A,4510,451030,45,45103010,518210,7370
034241,20190930,2019,INDL,C,D,STD,TWST,TWIST BIOSCIENCE CORP,USD,A,3520,352010,35,35201010,325414,2836
034243,20200430,2019,INDL,C,D,STD,ESTC,ELASTIC NV,USD,A,4510,451030,45,45103010,511210,7372
034300,20191231,2019,INDL,C,D,STD,VRRM,VERRA MOBILITY CORP,USD,A,4510,451020,45,45102020,518210,7374
034309,20191231,2019,INDL,C,D,STD,STNE,STONECO LTD,USD,A,4510,451020,45,45102020,522320,6099
034327,20191231,2019,INDL,C,D,STD,VAPO,VAPOTHERM INC,USD,A,3510,351010,35,35101010,334510,3845
034330,20191231,2019,INDL,C,D,STD,AMK,ASSETMARK FIN HOLDINGS INC,USD,A,4020,402030,40,40203010,519130,7370
034337,20191231,2019,INDL,C,D,STD,ETRN,EQUITRANS MID CORP,USD,A,1010,101020,10,10102040,486210,4922
034342,20191231,2019,INDL,C,D,STD,AXNX,AXONICS INC,USD,A,3510,351010,35,35101010,334510,3845
034410,20191231,2019,INDL,C,D,STD,MRNA,MODERNA INC,USD,A,3520,352010,35,35201010,325414,2836
034439,20191231,2019,INDL,C,D,STD,WTRH,WAITR HOLDINGS INC,USD,A,2550,255020,25,25502020,519130,7370
034443,20191231,2019,INDL,C,D,STD,DOW,DOW INC,USD,A,1510,151010,15,15101010,325211,2821
034446,20191231,2019,INDL,C,D,STD,SI,SILVERGATE CAPITAL CORP,USD,A,4010,401010,40,40101015,522110,6020
034447,20191231,2019,INDL,C,D,STD,BYND,BEYOND MEAT INC,USD,A,3020,302020,30,30202030,3114,2030
034562,20191231,2019,INDL,C,D,STD,ORGO,ORGANOGENESIS HOLDINGS INC,USD,A,3520,352010,35,35201010,325414,2836
034578,20191231,2019,INDL,C,D,STD,GOSS,GOSSAMER BIO INC,USD,A,3520,352010,35,35201010,325414,2836
034587,20191231,2019,INDL,C,D,STD,HARP,HARPOON THERAPEUTICS,USD,A,3520,352010,35,35201010,325414,2836
034600,20191231,2019,INDL,C,D,STD,TCRR,TCR2 THERAPEUTICS INC,USD,A,3520,352010,35,35201010,325414,2836
034609,20191231,2019,INDL,C,D,STD,PSTX,POSEIDA THERAPEUTICS,USD,A,3520,352010,35,35201010,325414,2836
034616,20191231,2019,INDL,C,D,STD,ALEC,ALECTOR INC,USD,A,3520,352010,35,35201010,325414,2836
034636,20190630,2019,INDL,C,D,STD,FOXA,FOX CORP,USD,A,5020,502010,50,50201020,515120,4833
034746,20191231,2019,INDL,C,D,STD,CYCN,CYCLERION THERAPEUTICS,USD,A,3520,352010,35,35201010,325414,2836
034750,20191231,2019,INDL,C,D,STD,WTRE,WATFORD HOLDINGS LTD,USD,A,4030,403010,40,40301030,524130,6331
034765,20191231,2019,INDL,C,D,STD,CVET,COVETRUS INC,USD,A,3510,351020,35,35102010,446110,5912
