yr_mo,fyear,tic,conm,cik,ggroup,gind,gsector,gsubind,log_assets,sales_growth,return_std,log_turnover,Skewness,Sharpe_Ratio,Securities,Total_Cases,securities_binary,litigation_binary
202012,2020.0,CECE,CECO ENVIRONMENTAL CORP,3197.0,2020,202010,20,20201050,6.038620042600954,-0.07563715926275855,1.029349427,12.261389086200882,19.48925163,-0.081809465,0.0,0.0,0,0
201112,2011.0,PNW,PINNACLE WEST CAPITAL CORP,764622.0,5510,551010,55,55101010,9.48120822439145,-0.006822433199689328,2.101352078,14.63616753769022,63.01419043,0.111869581,0.0,0.0,0,0
201212,2012.0,PNW,PINNACLE WEST CAPITAL CORP,764622.0,5510,551010,55,55101010,9.501487558978246,0.018641757103998076,2.219804171,14.361844821348061,68.11186409999999,0.055667852000000004,0.0,1.0,0,1
201312,2013.0,PNW,PINNACLE WEST CAPITAL CORP,764622.0,5510,551010,55,55101010,9.511088164936124,0.04628500056332843,2.31232687,14.52898130853755,72.46812816,0.014117083999999998,0.0,1.0,0,1
201412,2014.0,PNW,PINNACLE WEST CAPITAL CORP,764622.0,5510,551010,55,55101010,9.568960662500663,0.010711428263766722,4.397506869,14.654127274596657,39.24041625,0.07767645599999999,0.0,0.0,0,0
201512,2015.0,PNW,PINNACLE WEST CAPITAL CORP,764622.0,5510,551010,55,55101010,9.617687574499646,0.0010914666837742778,3.100304085,14.633288828198273,60.78032827,-0.015120921,0.0,0.0,0,0
201612,2016.0,PNW,PINNACLE WEST CAPITAL CORP,764622.0,5510,551010,55,55101010,9.680609778400035,0.0009266350502638944,3.9125641630000003,14.511633307125749,57.21950891,0.05492554400000001,0.0,0.0,0,0
201712,2017.0,PNW,PINNACLE WEST CAPITAL CORP,764622.0,5510,551010,55,55101010,9.742090464127497,0.01903974125113401,3.56739245,14.331672319191092,72.02459601,0.036867633999999996,0.0,0.0,0,0
201812,2018.0,PNW,PINNACLE WEST CAPITAL CORP,764622.0,5510,551010,55,55101010,9.779295384699841,0.03532694059623662,3.161770228,14.683540445554506,76.88335409999999,0.031934437999999996,0.0,0.0,0,0
201912,2019.0,PNW,PINNACLE WEST CAPITAL CORP,764622.0,5510,551010,55,55101010,9.824403597612257,-0.05961074942966429,2.963712363,14.719990212870478,94.11760178,0.018398518,0.0,0.0,0,0
202012,2020.0,PNW,PINNACLE WEST CAPITAL CORP,764622.0,5510,551010,55,55101010,9.904508081619134,0.033352356484441056,6.867768722,14.7859087208266,35.14605831,-0.021705519,0.0,0.0,0,0
201112,2011.0,ABT,ABBOTT LABORATORIES,1800.0,3510,351010,35,35101010,11.00670410861179,0.10477343053962866,2.861849635,16.881047306898992,54.05944397,0.1002003,0.0,1.0,0,1
201212,2012.0,ABT,ABBOTT LABORATORIES,1800.0,3510,351010,35,35101010,11.115948391358092,0.026322210047298733,3.9933058569999997,16.67100339015861,47.37803884,0.061783915,0.0,2.0,0,1
201312,2013.0,ABT,ABBOTT LABORATORIES,1800.0,3510,351010,35,35101010,10.667861773634332,-0.45207279647268106,1.750828375,16.827530809271167,61.06823576,0.6741622429999999,0.0,6.0,0,1
201412,2014.0,ABT,ABBOTT LABORATORIES,1800.0,3510,351010,35,35101010,10.628012268788328,-0.07327901867447821,2.4275861069999998,16.534200818998553,50.83959727,0.1038257,0.0,2.0,0,1
201512,2015.0,ABT,ABBOTT LABORATORIES,1800.0,3510,351010,35,35101010,10.627333661845343,0.007803625228428903,2.5737179930000003,16.50289787785799,53.75394678,0.009635449,0.0,1.0,0,1
201612,2016.0,ABT,ABBOTT LABORATORIES,1800.0,3510,351010,35,35101010,10.87172536503303,0.021955403087478557,2.041434681,16.94482322919202,58.90955079,0.020707068000000002,0.0,0.0,0,0
201712,2017.0,ABT,ABBOTT LABORATORIES,1800.0,3510,351010,35,35101010,11.241772694469658,0.31348007480937995,4.982439718999999,16.625033788230823,29.6200272,0.078609814,0.0,2.0,0,1
201812,2018.0,ABT,ABBOTT LABORATORIES,1800.0,3510,351010,35,35101010,11.115026660059447,0.11639284410368747,5.433737715,16.57313486983772,36.07645608,0.033425988999999996,0.0,3.0,0,1
201912,2019.0,ABT,ABBOTT LABORATORIES,1800.0,3510,351010,35,35101010,11.125599837189851,0.043364510432336974,4.352343877,16.387106011887543,56.4259183,0.04772788,0.0,1.0,0,1
202012,2020.0,ABT,ABBOTT LABORATORIES,1800.0,3510,351010,35,35101010,11.192003690737314,0.08475426278836509,11.32491648,16.646112023445138,25.67965958,0.024106928,0.0,1.0,0,1
201112,2011.0,AMD,ADVANCED MICRO DEVICES,2488.0,4530,453010,45,45301020,8.507950610049305,0.011395133969818293,1.422635465,17.828164978460475,15.21471981,-0.218147822,0.0,1.0,0,1
