gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,fyr,at,revt,sale,cik,costat,ggroup,gind,gsector,gsubind,naics,sic
001440,20161231,2016,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,12,63467.7000,16380.1000,16380.1000,0000004904,A,5510,551010,55,55101010,2211,4911
001440,20171231,2017,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,12,64729.1000,15424.9000,15424.9000,0000004904,A,5510,551010,55,55101010,2211,4911
001440,20181231,2018,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,12,68802.8000,16195.7000,16195.7000,0000004904,A,5510,551010,55,55101010,2211,4911
001440,20191231,2019,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,12,75892.3000,15561.4000,15561.4000,0000004904,A,5510,551010,55,55101010,2211,4911
001440,20201231,2020,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,12,80757.2000,14918.5000,14918.5000,0000004904,A,5510,551010,55,55101010,2211,4911
001602,20101231,2010,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,43486.0000,15053.0000,15053.0000,0000318154,A,3520,352010,35,35201010,325414,2836
001602,20111231,2011,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,48871.0000,15582.0000,15582.0000,0000318154,A,3520,352010,35,35201010,325414,2836
001602,20121231,2012,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,54298.0000,17265.0000,17265.0000,0000318154,A,3520,352010,35,35201010,325414,2836
001602,20131231,2013,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,66125.0000,18676.0000,18676.0000,0000318154,A,3520,352010,35,35201010,325414,2836
001602,20141231,2014,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,69009.0000,20063.0000,20063.0000,0000318154,A,3520,352010,35,35201010,325414,2836
001602,20151231,2015,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,71576.0000,21662.0000,21662.0000,0000318154,A,3520,352010,35,35201010,325414,2836
001602,20161231,2016,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,77626.0000,22991.0000,22991.0000,0000318154,A,3520,352010,35,35201010,325414,2836
001602,20171231,2017,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,79954.0000,22849.0000,22849.0000,0000318154,A,3520,352010,35,35201010,325414,2836
